russian_word;english_word;img_card;sound_card
Осень;Autumn;https://mnemoenglish.ru/img/mnemocard/557f82814b16a22090dd33a119dfc81d.jpeg;https://mnemoenglish.ru/sound/englishdom/autumn.mp3
Собака;Dog;https://mnemoenglish.ru/img/mnemocard/3fae39085c00c0f4580798a6e68be9ed.jpeg;https://mnemoenglish.ru/sound/englishdom/dog.mp3
Восемьдесят;Eighty;https://mnemoenglish.ru/img/mnemocard/7e241765f309b5adbc06924e4f3b81b0.jpeg;https://mnemoenglish.ru/sound/englishdom/eighty.mp3
Дом;Home;https://mnemoenglish.ru/img/mnemocard/52990eb242e7e0e2fef477c84b28513d.jpeg;https://mnemoenglish.ru/sound/englishdom/home.mp3
Сто;Hundred;https://mnemoenglish.ru/img/mnemocard/312565f8ea9b69a567d39ca7984d4df0.jpeg;https://mnemoenglish.ru/sound/englishdom/hundred.mp3
Месяц;Month;https://mnemoenglish.ru/img/mnemocard/9badf6a31089d4dea26c758e6be92b13.jpeg;https://mnemoenglish.ru/sound/englishdom/month.mp3
Время;Time;https://mnemoenglish.ru/img/mnemocard/03a379205d5529392462f5a294244fc1.jpeg;https://mnemoenglish.ru/sound/englishdom/time.mp3
Зима;Winter;https://mnemoenglish.ru/img/mnemocard/7a0b1ed5677fbf0091f1ca3bb3f539c9.jpeg;https://mnemoenglish.ru/sound/englishdom/winter.mp3
Принимать;Accept;https://mnemoenglish.ru/img/mnemocard/8a2cef4b691af0db64389581447e7bc5.jpeg;https://mnemoenglish.ru/sound/englishdom/accept.mp3
Признавать;Admit;https://mnemoenglish.ru/img/mnemocard/97ddf1310e1489afc16a44ea13956c5f.jpeg;https://mnemoenglish.ru/sound/englishdom/admit.mp3
Бороться;Battle;https://mnemoenglish.ru/img/mnemocard/98039dc4ca0059cc179ab750213f1a17.jpeg;https://mnemoenglish.ru/sound/englishdom/battle.mp3
Начать;Begin;https://mnemoenglish.ru/img/mnemocard/487e4ba1e171299bc3a124b1feddcc72.jpeg;https://mnemoenglish.ru/sound/englishdom/begin.mp3
Звонить;Call;https://mnemoenglish.ru/img/mnemocard/710c87d3579303069c0e659449f01c72.jpeg;https://mnemoenglish.ru/sound/englishdom/call.mp3
Требовать;Claim;https://mnemoenglish.ru/img/mnemocard/72e700504fdf51ba126f0f36087b463b.jpeg;https://mnemoenglish.ru/sound/englishdom/claim.mp3
Чистить;Clean;https://mnemoenglish.ru/img/mnemocard/6d55ed7e80f25a207aa8cca9cacf3870.jpeg;https://mnemoenglish.ru/sound/englishdom/clean.mp3
Расчесывать;Comb;https://mnemoenglish.ru/img/mnemocard/7595f1c7886dff5358495927a0327068.jpeg;https://mnemoenglish.ru/sound/englishdom/comb.mp3
Готовить;Cook;https://mnemoenglish.ru/img/mnemocard/934ffe7f48295207429c8153ba899c76.jpeg;https://mnemoenglish.ru/sound/englishdom/cook.mp3
Кашлять;Cough;https://mnemoenglish.ru/img/mnemocard/3e2d5b070fb48934916de24fc1dd0fc5.jpeg;https://mnemoenglish.ru/sound/englishdom/cough.mp3
Решать;Decide;https://mnemoenglish.ru/img/mnemocard/5d42768047c74dc650733c3d3e236188.jpeg;https://mnemoenglish.ru/sound/englishdom/decide.mp3
Рисовать;Draw;https://mnemoenglish.ru/img/mnemocard/8625152b153be9c761052381fd6402bf.jpeg;https://mnemoenglish.ru/sound/englishdom/draw.mp3
Заполнить;Fill;https://mnemoenglish.ru/img/mnemocard/05aa525c6acb7cf390a2ab924edc8c5f.jpeg;https://mnemoenglish.ru/sound/englishdom/fill.mp3
Летать;Fly;https://mnemoenglish.ru/img/mnemocard/1f6be2cc53bf35e665f625973d608948.jpeg;https://mnemoenglish.ru/sound/englishdom/fly.mp3
Светиться;Glow;https://mnemoenglish.ru/img/mnemocard/5d395215ef58dcb805156d34d3bb001a.jpeg;https://mnemoenglish.ru/sound/englishdom/glow.mp3
Схватить;Grip;https://mnemoenglish.ru/img/mnemocard/9458ba4ac8d8e46d606445ce70adecfd.jpeg;https://mnemoenglish.ru/sound/englishdom/grip.mp3
Случаться;Happen;https://mnemoenglish.ru/img/mnemocard/2c911a19956f69d7f89aa8b60fec8368.jpeg;https://mnemoenglish.ru/sound/englishdom/happen.mp3
Нравиться;Like;https://mnemoenglish.ru/img/mnemocard/8fd3c666ac6195a2e608acabec5474af.jpeg;https://mnemoenglish.ru/sound/englishdom/like.mp3
Слушать;Listen;https://mnemoenglish.ru/img/mnemocard/4dd7f73512d2346f73251c23a3eb7d43.jpeg;https://mnemoenglish.ru/sound/englishdom/listen.mp3
